id	name	direction	gpr	pathway	enzyme	equation	reference
rxn00669[c0]	Propanoate CoA ligase ADP-forming c0	=	(kb|g.575.peg.148)	Protein Acetylation and Deacetylation in Bacteria	6.2.1.13	cpd00010[c0] + cpd00002[c0] + cpd00141[c0]  <=> cpd00009[c0] + cpd00008[c0] + cpd00086[c0] 	 
rxn01333[c0]	Sedoheptulose-7-phosphate D-glyceraldehyde-3-phosphate c0	=	kb|g.575.peg.1308	Folate Biosynthesis; Pentose Phosphate Pathway	2.2.1.2	cpd00238[c0] + cpd00102[c0]  <=> cpd00072[c0] + cpd00236[c0] 	 
rxn00714[c0]	P1 P4-Bis5'-nucleosyl-tetraphosphate nucleotidohydrolase c0	>	kb|g.575.peg.331	Pyrimidine Conversions	|3.6.1.17|	cpd00001[c0] + cpd03706[c0]  -> cpd00091[c0] + cpd00062[c0] 	 
rxn01434[c0]	L-Citrulline L-aspartate ligase AMP-forming c0	=	kb|g.575.peg.73	Arginine Biosynthesis	6.3.4.5	cpd00002[c0] + cpd00041[c0] + cpd00274[c0]  <=> cpd02152[c0] + cpd00012[c0] + cpd00018[c0] 	 
rxn01116[c0]	D-Ribulose-5-phosphate 3-epimerase c0	=	kb|g.575.peg.1114	Pentose Phosphate Pathway	5.1.3.1	cpd00171[c0]  <=> cpd00198[c0] 	 
rxn08308[c0]	CDP-diacylglycerol synthetase n-C14 1 c0	=	kb|g.575.peg.1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	|2.7.7.41|	cpd00052[c0] + cpd15523[c0]  <=> cpd00012[c0] + cpd15422[c0] 	 
rxn00409[c0]	ATP nucleoside-diphosphate phosphatransferase c0	=	kb|g.575.peg.283	Purine Conversions; Pyrimidine Conversions	2.7.4.6	cpd00002[c0] + cpd00096[c0]  <=> cpd00008[c0] + cpd00052[c0] 	 
rxn02213[c0]	3-Dehydroquinate hydro-lyase c0	>	kb|g.575.peg.1394	Chorismate Synthesis	4.2.1.10	cpd00699[c0]  -> cpd00001[c0] + cpd01716[c0] 	 
rxn03062[c0]	3-Isopropylmalate NAD oxidoreductase c0	=	kb|g.575.peg.539	Branched Chain Amino Acid Biosynthesis	1.1.1.85	cpd00003[c0] + cpd02693[c0]  <=> cpd00067[c0] + cpd00004[c0] + cpd02605[c0] 	 
rxn03446[c0]	O-Phospho-4-hydroxy-L-threonine phospho-lyase adding water c0	>	kb|g.575.peg.135	Threonine and Homoserine Biosynthesis	|4.2.3.1|	cpd00001[c0] + cpd03607[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd03608[c0] 	 
rxn01519[c0]	dUTP nucleotidohydrolase c0	>	kb|g.575.peg.1075 or kb|g.575.peg.1426	Folate Biosynthesis	3.6.1.19|3.6.1.23	cpd00001[c0] + cpd00358[c0]  -> cpd00012[c0] + cpd00299[c0] 	 
rxn00029[c0]	5-Aminolevulinate hydro-lyaseadding 5-aminolevulinate and c0	>	kb|g.575.peg.1258	Heme and Siroheme Biosynthesis	4.2.1.24	2 cpd00338[c0]  -> cpd00067[c0] + 2 cpd00001[c0] + cpd00689[c0] 	 
rxn03491[c0]	S-Adenosyl-L-methionine 1-precorrin-6Y C5 15-methyltransferase c0	=	(kb|g.575.peg.1227 or kb|g.575.peg.1221)	Coenzyme B12 Biosynthesis	|2.1.1.132|	cpd03760[c0] + 2 cpd00017[c0]  <=> 2 cpd00067[c0] + cpd00011[c0] + 2 cpd00019[c0] + cpd03835[c0] 	 
rxn01964[c0]	L-Serine hydro-lyase adding indoleglycerol-phosphate c0	>	(kb|g.575.peg.1002 and kb|g.575.peg.1003)	Tryptophan Synthesis	4.2.1.20	cpd00054[c0] + cpd02210[c0]  -> cpd00001[c0] + cpd00102[c0] + cpd00065[c0] 	 
rxn12510[c0]	ATP pantothenate 4'-phosphotransferase c0	=	kb|g.575.peg.398	Coenzyme A Biosynthesis	2.7.1.33	cpd00002[c0] + cpd00644[c0]  <=> cpd00008[c0] + cpd02201[c0] 	 
rxn09207[c0]	Phosphatidylserine syntase n-C14 1 c0	>	kb|g.575.peg.1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	|2.7.8.8|	cpd00054[c0] + cpd15422[c0]  -> cpd00067[c0] + cpd00046[c0] + cpd15554[c0] 	 
rxn02380[c0]	beta-D-Glucose 6-phosphate ketol-isomerase c0	=	kb|g.575.peg.1295	Glycolysis and Gluconeogenesis	|5.3.1.9|	cpd00863[c0]  <=> cpd00072[c0] 	 
rxn00474[c0]	L-Serine hydro-lyase adding indoleglycerol-phosphate c0	>	(kb|g.575.peg.1002 and kb|g.575.peg.1003)	Tryptophan Synthesis	4.2.1.20	cpd00054[c0] + cpd00359[c0]  -> cpd00001[c0] + cpd00065[c0] 	 
rxn03435[c0]	R-2 3-Dihydroxy-3-methylpentanoate NADP oxidoreductase c0	=	kb|g.575.peg.654	Coenzyme A Biosynthesis; Branched Chain Amino Acid Biosynthesis 	|1.1.1.86|	cpd00006[c0] + cpd02535[c0]  <=> cpd00067[c0] + cpd00005[c0] + cpd10162[c0] 	 
rxn01673[c0]	ATP nucleoside-diphosphate phosphatransferase c0	=	kb|g.575.peg.283	Purine Conversions; Pyrimidine Conversions	2.7.4.6	cpd00002[c0] + cpd00533[c0]  <=> cpd00008[c0] + cpd00356[c0] 	 
rxn12845[c0]	Gly-Leu aminopeptidase c0	=	(kb|g.575.peg.1204 or kb|g.575.peg.1444)	Protein Degradation	|3.4.11.2|	cpd00001[c0] + cpd15604[c0]  <=> cpd00033[c0] + cpd00107[c0] 	 
rxn00085[c0]	L-Glutamate NADP oxidoreductase transaminating c0	=	kb|g.575.peg.82 and kb|g.575.peg.81 and kb|g.575.peg.80	Glutamine/Glutamate/Aspartate/Asparagine Biosynthesis	1.4.1.13	cpd00006[c0] + 2 cpd00023[c0]  <=> cpd00067[c0] + cpd00005[c0] + cpd00053[c0] + cpd00024[c0] 	 
rxn00832[c0]	IMP 1 2-hydrolase decyclizing c0	=	(kb|g.575.peg.1373 or kb|g.575.peg.1310)	De Novo Purine Biosynthesis	3.5.4.10	cpd00001[c0] + cpd00114[c0]  <=> cpd02884[c0] 	 
rxn00295[c0]	UDP-N-acetyl-D-glucosamine 4-epimerase c0	=	kb|g.575.peg.1090	N-Linked Glycosylation in Bacteria	|5.1.3.7|	cpd00037[c0]  <=> cpd00175[c0] 	 
rxn02187[c0]	2-Acetolactate methylmutase c0	=	kb|g.575.peg.654	Valine, Leucine, and Isoleucine Biosynthesis	|5.4.99.3|1.1.1.86|	cpd00668[c0]  <=> cpd02569[c0] 	 
rxn01219[c0]	ATP CMP phosphotransferase c0	=	kb|g.575.peg.626	Pyrimidine Conversions	2.7.4.14	cpd00002[c0] + cpd00206[c0]  <=> cpd00008[c0] + cpd00533[c0] 	 
rxn03514[c0]	S-adenosyl-L-methionine precorrin-4 C11 methyltransferase c0	=	kb|g.575.peg.1662	Coenzyme B12 Biosynthesis	|2.1.1.133|	cpd00017[c0] + cpd03834[c0]  <=> cpd00067[c0] + cpd00019[c0] + cpd03839[c0] 	 
rxn01270[c0]	L-Aspartate 2-oxoglutarate aminotransferase c0	=	(kb|g.575.peg.1072 or kb|g.575.peg.1527)	Phenylalanine and Tyrosine Branches from Chorismate	|2.6.1.57|2.6.1.78|	cpd00032[c0] + cpd00616[c0]  <=> cpd00041[c0] + cpd00219[c0] 	 
rxn08309[c0]	CDP-diacylglycerol synthetase n-C16 0 c0	=	kb|g.575.peg.1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	|2.7.7.41|	cpd00052[c0] + cpd15524[c0]  <=> cpd00012[c0] + cpd15419[c0] 	 
rxn08312[c0]	CDP-diacylglycerol synthetase n-C18 1 c0	=	kb|g.575.peg.1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	|2.7.7.41|	cpd00052[c0] + cpd15527[c0]  <=> cpd00012[c0] + cpd15420[c0] 	 
rxn05144[c0]	rxn05144 c0	>	(kb|g.575.peg.103 or kb|g.575.peg.1656)	Pyridoxin(Vitamin B6) Biosynthesis		cpd00053[c0] + cpd00102[c0] + cpd00171[c0]  -> 2 cpd00067[c0] + 3 cpd00001[c0] + cpd00009[c0] + cpd00023[c0] + cpd00016[c0] 	 
rxn00410[c0]	UTP ammonia ligaseADP-forming c0	=	kb|g.575.peg.893	Pyrimidine Conversions	|6.3.4.2|	cpd00002[c0] + cpd00013[c0] + cpd00062[c0]  <=> 2 cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd00052[c0] 	 
rxn05221[c0]	Na proline symport c0	=	((kb|g.575.peg.1700 or kb|g.575.peg.220) or kb|g.575.peg.221)	Transport		cpd00971[e0] + cpd00129[e0]  <=> cpd00971[c0] + cpd00129[c0] 	 
rxn09210[c0]	Phosphatidylserine syntase n-C18 0 c0	>	kb|g.575.peg.1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	|2.7.8.8|	cpd00054[c0] + cpd15421[c0]  -> cpd00067[c0] + cpd00046[c0] + cpd15557[c0] 	 
rxn00782[c0]	D-Glyceraldehyde-3-phosphate NADP oxidoreductasephosphorylating c0	>	kb|g.575.peg.325	Glycolysis and Gluconeogenesis	|1.2.1.12|1.2.1.13|1.2.1.59|	cpd00005[c0] + cpd00203[c0]  -> cpd00006[c0] + cpd00009[c0] + cpd00102[c0] 	 
rxn01607[c0]	ATP R-mevalonate 5-phosphotransferase c0	=	kb|g.575.peg.1335	Isoprenoid Biosynthesis; Archaeal Lipids	|2.7.1.36|	cpd00002[c0] + cpd00332[c0]  <=> cpd00008[c0] + cpd00812[c0] 	 
rxn01000[c0]	Prephenate hydro-lyase decarboxylating c0	>	kb|g.575.peg.1528	Phenylalanine and Tyrosine Branches from Chorismate	4.2.1.51|4.2.1.91	cpd00067[c0] + cpd00219[c0]  -> cpd00011[c0] + cpd00001[c0] + cpd00143[c0] 	 
rxn00675[c0]	Propinol adenylate CoA ligase AMP-forming c0	>	kb|g.575.peg.148	Protein Acetylation and Deacetylation in Bacteria	|6.2.1.1|6.2.1.17|	cpd00010[c0] + cpd03560[c0]  -> cpd00018[c0] + cpd00086[c0] 	 
rxn02305[c0]	2-Methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate 4-methyl-5- c0	=	kb|g.575.peg.1139	Thiamin Biosynthesis	2.5.1.3	cpd00067[c0] + cpd02894[c0] + cpd02654[c0]  <=> cpd00012[c0] + cpd00793[c0] 	 
rxn02296[c0]	6-Carboxyhyxanoate CoA ligase AMP-forming c0	>	kb|g.575.peg.1575	Biotin Biosynthesis	|6.2.1.14|	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd01727[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd00782[c0] 	 
rxn12641[c0]	aminopeptidase c0	=	(kb|g.575.peg.1204 or kb|g.575.peg.1444)	Protein Degradation		cpd00001[c0] + cpd11585[c0]  <=> cpd00035[c0] + cpd00033[c0] 	 
rxn10315[c0]	isohexadecanoyl-lipoteichoic acid synthesis n=24 linked N-acetylglucosamine substituted c0	=	kb|g.575.peg.1423	Teichoic and Lipoteichoic Acids Biosynthesis	|2.7.8.-|	24 cpd00037[c0] + cpd15754[c0]  <=> 24 cpd00014[c0] + cpd15772[c0] 	 
rxn00711[c0]	UMP pyrophosphate phosphoribosyltransferase c0	>	(kb|g.575.peg.680)	De Novo Pyrimidine Synthesis	2.4.2.9	cpd00092[c0] + cpd00103[c0]  -> cpd00012[c0] + cpd00091[c0] 	 
rxn10309[c0]	stearoyl-lipoteichoic acid synthesis n=24 linked N-acetylglucosamine substituted c0	=	kb|g.575.peg.1423	Teichoic and Lipoteichoic Acids Biosynthesis	|2.7.8.-|	24 cpd00037[c0] + cpd15748[c0]  <=> 24 cpd00014[c0] + cpd15766[c0] 	 
rxn12633[c0]	aminopeptidase c0	=	(kb|g.575.peg.1204 or kb|g.575.peg.1444)	Protein Degradation		cpd00001[c0] + cpd11593[c0]  <=> cpd00035[c0] + cpd00041[c0] 	 
rxn05250[c0]	FACOAL160ISO c0	>	kb|g.575.peg.566	Unsaturated Fatty Acid Biosynthesis; Biotin Biosynthesis	|6.2.1.3|	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd11440[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd11441[c0] 	 
rxn03174[c0]	2-Amino-4-hydroxy-6-erythro-1 2 3-trihydroxypropyl c0	>	kb|g.575.peg.34	Folate Biosynthesis	|3.5.4.16|	cpd03666[c0]  -> cpd00001[c0] + cpd02978[c0] 	 
rxn00763[c0]	Glycerol NAD oxidoreductase c0	=	kb|g.575.peg.802	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	1.1.1.1|1.1.1.2|1.1.1.21|1.1.1.72	cpd00003[c0] + cpd00100[c0]  <=> cpd00067[c0] + cpd00004[c0] + cpd00448[c0] 	 
rxn00138[c0]	Deamino-NAD ammonia ligase AMP-forming c0	>	kb|g.575.peg.1349	NAD/NADP Cofactor Biosynthesis	6.3.1.5	cpd00002[c0] + cpd00013[c0] + cpd00638[c0]  -> cpd00003[c0] + cpd00012[c0] + cpd00018[c0] 	 
rxn03136[c0]	1-5'-Phosphoribosyl-5-amino-4-N-succinocarboxamide-imidazole c0	=	kb|g.575.peg.971	De Novo Purine Biosynthesis	4.3.2.2	cpd02921[c0]  <=> cpd00106[c0] + cpd02851[c0] 	 
rxn05165[c0]	L-Proline-ABC transport c0	>	kb|g.575.peg.866 or kb|g.575.peg.867 or kb|g.575.peg.868	Transport		cpd00001[c0] + cpd00002[c0] + cpd00129[e0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd00129[c0] 	 
rxn00988[c0]	Acetoacetate CoA ligase AMP-forming c0	>	(kb|g.575.peg.566)	Branched Chain Amino Acid Degradation Regulons	|6.2.1.16|	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd00142[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd00279[c0] 	 
rxn05236[c0]	Ribonucleotide reductase UTP c0	>	kb|g.575.peg.227	Ribonucleotide Reduction	1.17.4.2	cpd11421[c0] + cpd00062[c0]  -> cpd11420[c0] + cpd00001[c0] + cpd00358[c0] 	 
rxn02835[c0]	1-5-phospho-D-ribosyl-AMP 1 6-hydrolase c0	=	(kb|g.575.peg.280 and kb|g.575.peg.51)	Histidine Biosynthesis	3.5.4.19	cpd00001[c0] + cpd01777[c0]  <=> cpd02979[c0] 	 
rxn00726[c0]	Chorismate pyruvate-lyase amino-accepting c0	>	(kb|g.575.peg.1006 and kb|g.575.peg.1005)	Tryptophan Synthesis	|4.1.3.27|	cpd00013[c0] + cpd00216[c0]  -> cpd00067[c0] + cpd00001[c0] + cpd00020[c0] + cpd00093[c0] 	 
rxn03147[c0]	1-5-Phosphoribosyl-5-amino-4-carboxyimidazole L-aspartate ligase c0	=	kb|g.575.peg.540	De Novo Purine Biosynthesis	6.3.2.6	cpd02893[c0] + cpd00002[c0] + cpd00041[c0]  -> 2 cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd02921[c0] 	 
rxn00650[c0]	membrane alanyl aminopeptidase c0	=	(kb|g.575.peg.1204 or kb|g.575.peg.1444)	Protein Degradation	|3.4.11.2|3.4.11.1|3.4.11.23|3.4.13.3|	cpd00001[c0] + cpd01017[c0]  <=> cpd00033[c0] + cpd00084[c0] 	 
rxn01241[c0]	Dihydrolipoamide NAD oxidoreductase c0	=	kb|g.575.peg.1332	TCA Cycle	|1.8.1.4|	cpd00003[c0] + cpd00449[c0]  <=> cpd00067[c0] + cpd00004[c0] + cpd00213[c0] 	 
rxn10229[c0]	isopentadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase c0	>	kb|g.575.peg.1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	|2.7.8.8|	cpd00054[c0] + cpd15686[c0]  -> cpd00067[c0] + cpd00046[c0] + cpd15692[c0] 	 
rxn00776[c0]	Uracil hydro-lyase adding D-ribose 5-phosphate c0	>	(kb|g.575.peg.268)	tRNA Modification (Bacteria); rRNA Modification (Bacteria)	|4.2.1.70|	cpd00101[c0] + cpd00092[c0]  -> cpd00001[c0] + cpd00859[c0] 	 
rxn12646[c0]	aminopeptidase c0	=	(kb|g.575.peg.1204 or kb|g.575.peg.1444)	Protein Degradation		cpd00001[c0] + cpd11580[c0]  <=> cpd00033[c0] + cpd00053[c0] 	 
rxn09296[c0]	hydrogen peroxide reductase thioredoxin c0	>	(kb|g.575.peg.1635 or kb|g.575.peg.958)	Glycine Reductase, Sarcosine Reductase, and Betaine Reductase		cpd11421[c0] + cpd00025[c0]  -> cpd11420[c0] + 2 cpd00001[c0] 	 
rxn01255[c0]	5-O-1-Carboxyvinyl-3-phosphoshikimate phosphate-lyase c0	>	kb|g.575.peg.1333	Chorismate Synthesis	4.2.3.5	cpd00932[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd00216[c0] 	 
rxn03194[c0]	S-2-Aceto-2-hydroxybutanoate pyruvate-lyase carboxylating c0	=	(kb|g.575.peg.651 and kb|g.575.peg.650)	Branched Chain Amino Acid Biosynthesis; Acetoin, Butanediol Metabolism	|2.2.1.6|	cpd03049[c0] + cpd00094[c0]  <=> cpd00498[c0] + cpd00056[c0] 	 
rxn10222[c0]	isotetradecanoyl-phosphatidate cytidylyltransferase c0	=	kb|g.575.peg.1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	|2.7.7.41|	cpd00052[c0] + cpd15679[c0]  <=> cpd00012[c0] + cpd15685[c0] 	 
rxn11938[c0]	Formylmethanofuran NAD oxidoreductase c0	=	(kb|g.575.peg.1244 and kb|g.575.peg.1245 and kb|g.575.peg.1246 and kb|g.575.peg.1247 and kb|g.575.peg.1248 and (kb|g.575.peg.1249 or kb|g.575.peg.70)) or (kb|g.575.peg.508 and kb|g.575.peg.509 and kb|g.575.peg.510 and (kb|g.575.peg.511 or kb|g.575.peg.512))	Methanogenesis	|1.2.99.5|	cpd00001[c0] + cpd11621[c0] + cpd00735[c0]  <=> cpd00067[c0] + cpd00011[c0] + cpd11620[c0] + cpd00643[c0] 	 
rxn02287[c0]	S-Adenosyl-L-methionine uroporphyrin-III C-methyltransferase c0	=	kb|g.575.peg.966	Coenzyme B12 Biosynthesis	|2.1.1.107|	2 cpd00017[c0] + cpd00774[c0]  <=> 2 cpd00067[c0] + 2 cpd00019[c0] + cpd01620[c0] 	 
rxn02475[c0]	2 5-Diamino-6-hydroxy-4-5-phosphoribosylamino-pyrimidine c0	>	(kb|g.575.peg.1348)	Riboflavin, FMN, and FAD Metabolism	3.5.4.26	cpd00067[c0] + cpd00001[c0] + cpd00957[c0]  -> cpd00013[c0] + cpd00931[c0] 	 
rxn00147[c0]	ATP pyruvate water phosphotransferase c0	>	kb|g.575.peg.1094	Glycolysis and Gluconeogenesis	2.7.9.2	cpd00001[c0] + cpd00002[c0] + cpd00020[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd00061[c0] + cpd00018[c0] 	 
rxn02774[c0]	S-Adenosyl-L-methionine uroporphyrin-III C-methyltransferase c0	=	(kb|g.575.peg.966 or kb|g.575.peg.89)	Heme and Siroheme Biosynthesis	|1.3.1.76|2.1.1.107|	cpd00003[c0] + cpd01620[c0]  <=> cpd00067[c0] + cpd00004[c0] + cpd03426[c0] 	 
rxn05172[c0]	Taurine-ABC transport c0	>	kb|g.575.peg.1260 or kb|g.575.peg.1197 or kb|g.575.peg.1198	Transport	|3.A.1.17|	cpd00001[c0] + cpd00002[c0] + cpd00210[e0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd00210[c0] 	 
rxn03057[c0]	5-Methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase c0	=	kb|g.575.peg.1618	Methionine Salvage	5.3.1.23	cpd02574[c0]  <=> cpd02791[c0] 	 
rxn01485[c0]	D-Glucosamine 1-phosphate 1 6-phosphomutase c0	=	kb|g.575.peg.1077	Sialic Acid Metabolism	5.4.2.10|5.4.2.2	cpd03671[c0]  <=> cpd00288[c0] 	 
rxn13784[c0]	RNA transcription c0	>	(kb|g.575.peg.1526 and kb|g.575.peg.323)	tRNA Modification (Bacteria)		 -> cpd17043[c0] 	 
rxn00245[c0]	R-Tartrate hydro-lyase c0	>	(kb|g.575.peg.1548 or kb|g.575.peg.130)	None	4.2.1.32|4.2.1.81	cpd00666[c0]  -> cpd00001[c0] + cpd00032[c0] 	 
rxn01629[c0]	S-4-Amino-5-oxopentanoate 4 5-aminomutase c0	=	kb|g.575.peg.224	Heme and Siroheme Biosynthesis	5.4.3.8	cpd00338[c0]  <=> cpd02345[c0] 	 
rxn06874[c0]	reduced ferredoxin dinitrogen oxidoreductase ATP-hydrolysing c0	>	kb|g.575.peg.853 and kb|g.575.peg.856 and kb|g.575.peg.857 and kb|g.575.peg.858 and kb|g.575.peg.859 and kb|g.575.peg.860	Nitrogen Fixation	|1.18.6.1|	16 cpd00001[c0] + 16 cpd00002[c0] + 4 cpd11620[c0] + cpd00528[c0]  <=> 6 cpd00067[c0] + 16 cpd00009[c0] + 16 cpd00008[c0] + 2 cpd00013[c0] + 4 cpd11621[c0] + cpd11640[c0] 	 
rxn06299[c0]	Hydrogen acceptor oxidoreductase c0	=	(kb|g.575.peg.1382 and kb|g.575.peg.1383 and kb|g.575.peg.1384 and kb|g.575.peg.1385) or (kb|g.575.peg.817 and kb|g.575.peg.818 and kb|g.575.peg.819 and kb|g.575.peg.820)	Methanogenesis	|1.12.98.1|	cpd11640[c0] + cpd00649[c0]  <=> cpd00792[c0] 	 
rxn05313[c0]	PIt8 c0	=	kb|g.575.peg.666	Transport	|TC-2.A.58|2.A.58|	cpd00009[e0] + 3 cpd00971[e0]  <=> cpd00009[c0] + 3 cpd00971[c0] 	 
rxn00966[c0]	chorismate pyruvate-lyase 4-hydroxybenzoate-forming c0	>	kb|g.575.peg.543	Ubiquionine Biosynthesis	|4.1.3.40|	cpd00216[c0]  -> cpd00020[c0] + cpd00136[c0] 	 
rxn00785[c0]	D-Fructose 6-phosphate D-glyceraldehyde-3-phosphate glycolaldehyde c0	=	(kb|g.575.peg.1113 or kb|g.575.peg.1115)	Pentose Phosphate Pathway	2.2.1.1	cpd00072[c0] + cpd00102[c0]  <=> cpd00198[c0] + cpd00236[c0] 	 
rxn03084[c0]	5'-Phosphoribosylformylglycinamide L-glutamine amido-ligase c0	>	kb|g.575.peg.178 or kb|g.575.peg.179	De Novo Purine Biosynthesis	6.3.5.3	cpd00001[c0] + cpd00002[c0] + cpd00053[c0] + cpd02678[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd02826[c0] + cpd00023[c0] 	 
rxn00011[c0]	pyruvate thiamin diphosphate acetaldehydetransferase c0	>	(kb|g.575.peg.651 and kb|g.575.peg.650)	Methionine Degradation	|1.2.4.1|2.2.1.6|4.1.1.1|	cpd00067[c0] + cpd00020[c0] + cpd00056[c0]  -> cpd00011[c0] + cpd03049[c0] 	 
rxn00292[c0]	UDP-N-acetyl-D-glucosamine 2-epimerase c0	>	(kb|g.575.peg.705 or kb|g.575.peg.357)	Sialic Acid Metabolism	|5.1.3.14|	cpd00001[c0] + cpd00037[c0]  -> cpd00014[c0] + cpd00492[c0] 	 
rxn05252[c0]	FACOAL170ISO c0	>	kb|g.575.peg.566	Unsaturated Fatty Acid Biosynthesis; Biotin Biosynthesis	|6.2.1.3|	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd11431[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd11432[c0] 	 
rxn05155[c0]	L-Glutamine-ABC transport c0	>	kb|g.575.peg.1224 or kb|g.575.peg.229 or kb|g.575.peg.455	Transport	|3.A.1.3|	cpd00001[c0] + cpd00002[c0] + cpd00053[e0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd00053[c0] 	 
rxn01513[c0]	ATP dTMP phosphotransferase c0	=	kb|g.575.peg.1034	Pyrimidine Conversions	2.7.4.12|2.7.4.9	cpd00002[c0] + cpd00298[c0]  <=> cpd00008[c0] + cpd00297[c0] 	 
rxn02476[c0]	Phosphoenolpyruvate 3-phosphoshikimate c0	=	kb|g.575.peg.1205	Chorismate Synthesis	2.5.1.19	cpd00061[c0] + cpd02030[c0]  <=> cpd00067[c0] + cpd00009[c0] + cpd00932[c0] 	 
rxn01575[c0]	L-Isoleucine 2-oxoglutarate aminotransferase c0	=	kb|g.575.peg.132	Amino Acid Biosynthesis	2.6.1.42	cpd00024[c0] + cpd00322[c0]  <=> cpd00023[c0] + cpd00508[c0] 	 
rxn09206[c0]	Phosphatidylserine syntase n-C14 0 c0	>	kb|g.575.peg.1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	|2.7.8.8|	cpd00054[c0] + cpd15423[c0]  -> cpd00067[c0] + cpd00046[c0] + cpd15553[c0] 	 
rxn00781[c0]	D-Glyceraldehyde-3-phosphate NAD oxidoreductasephosphorylating c0	=	kb|g.575.peg.325	Glycolysis and Gluconeogenesis	1.2.1.12|1.2.1.13|1.2.1.59	cpd00006[c0] + cpd00009[c0] + cpd00102[c0]  <=> cpd00005[c0] + cpd00203[c0] 	 
rxn05181[c0]	Betaine-ABC transport c0	>	kb|g.575.peg.866 or kb|g.575.peg.867 or kb|g.575.peg.868	Transport	|3.A.1.12|	cpd00001[c0] + cpd00002[c0] + cpd00540[e0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd00540[c0] 	 
rxn00775[c0]	ADPribose ribophosphohydrolase c0	>	kb|g.575.peg.339	NAD/NADP Cofactor Biosynthesis	|3.6.1.13|	cpd00001[c0] + cpd00251[c0]  -> cpd00101[c0] + cpd00018[c0] 	 
rxn00364[c0]	ATP CMP phosphotransferase c0	=	kb|g.575.peg.626	Pyrimidine Conversions	2.7.4.14	cpd00002[c0] + cpd00046[c0]  <=> cpd00008[c0] + cpd00096[c0] 	 
rxn00515[c0]	ATP nucleoside-diphosphate phosphatransferase c0	=	kb|g.575.peg.283	Purine Conversions; Pyrimidine Conversions	|2.7.4.6|	cpd00002[c0] + cpd00090[c0]  <=> cpd00008[c0] + cpd00068[c0] 	 
rxn01025[c0]	5-Methylcytosine aminohydrolase c0	>	kb|g.575.peg.869	Pyrimidine Conversions	|3.5.4.1|	cpd00067[c0] + cpd00001[c0] + cpd01587[c0]  -> cpd00013[c0] + cpd00151[c0] 	 
rxn02186[c0]	2 3-Dihydroxy-3-methylbutanoate NADP oxidoreductase isomerizing c0	=	kb|g.575.peg.654	Coenzyme A Biosynthesis; Branched Chain Amino Acid Biosynthesis 	1.1.1.86	cpd00067[c0] + cpd00005[c0] + cpd00668[c0]  <=> cpd00006[c0] + cpd02498[c0] 	 
rxn10227[c0]	anteisoheptadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase c0	>	kb|g.575.peg.1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	|2.7.8.8|	cpd00054[c0] + cpd15684[c0]  -> cpd00067[c0] + cpd00046[c0] + cpd15690[c0] 	 
rxn12846[c0]	Gly-Phe aminopeptidase c0	=	(kb|g.575.peg.1204 or kb|g.575.peg.1444)	Protein Degradation	|3.4.11.2|	cpd00001[c0] + cpd15605[c0]  <=> cpd00033[c0] + cpd00066[c0] 	 
rxn05201[c0]	Hypoxanthine ion-coupled transport c0	=	kb|g.575.peg.681 or kb|g.575.peg.689	Transport		cpd00067[e0] + cpd00226[e0]  <=> cpd00067[c0] + cpd00226[c0] 	 
rxn02789[c0]	2-Isopropylmalate hydro-lyase c0	=	(kb|g.575.peg.136 or kb|g.575.peg.1149)	Branched Chain Amino Acid Biosynthesis	4.2.1.33	cpd01646[c0]  <=> cpd00001[c0] + cpd01710[c0] 	 
