Rxn_ID	Rxn_Name	GPR	Subsystem	Formula	Readable_Formula
rxn01682[c0]	1S 2R-1-C-indol-3-ylglycerol 3-phosphate c0	(MMP1002 and MMP1003)	Tryptophan Synthesis	cpd02210[c0]  <=> cpd00102[c0] + cpd00359[c0] 	Indoleglycerol_phosphate[c0]  <=> Glyceraldehyde3-phosphate[c0] + indol[c0] 	
rxn02474[c0]	5-amino-6-5-phosphoribitylaminouracil NADP 1'-oxidoreductase c0	MMP1348	Riboflavin, FMN, and FAD Metabolism	cpd00006[c0] + cpd02720[c0]  <=> cpd00067[c0] + cpd00005[c0] + cpd00931[c0] 	NADP[c0] + 5-Amino-6-5-phosphoribitylaminouracil[c0]  <=> H[c0] + NADPH[c0] + 5-Amino-6-5-phosphoribosylaminouracil[c0] 	
rxn10311[c0]	anteisoheptadecanoyl-lipoteichoic acid synthesis n=24 linked N-acetylglucosamine substituted c0	MMP1423	Teichoic and Lipoteichoic Acids Biosynthesis	24 cpd00037[c0] + cpd15750[c0]  <=> 24 cpd00014[c0] + cpd15768[c0] 	24 UDP-N-acetylglucosamine[c0] + Anteisoheptadecanoyllipoteichoic_acid_n=24__linked__unsubstituted[c0]  <=> 24 UDP[c0] + Anteisoheptadecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine[c0] 	
rxn01486[c0]	trans trans-Farnesyl-diphosphate isopentenyl-diphosphate c0	MMP0045	Archaeal Lipids	cpd00113[c0] + cpd00350[c0]  -> cpd00012[c0] + cpd00289[c0] 	Isopentenyldiphosphate[c0] + Farnesyldiphosphate[c0]  -> PPi[c0] + Geranylgeranyl_diphosphate[c0] 	
rxn00898[c0]	2 3-Dihydroxy-3-methylbutanoate hydro-lyase c0	MMP0318	Branched Chain Amino Acid Biosynthesis	cpd02498[c0]  -> cpd00001[c0] + cpd00123[c0] 	2_3-Dihydroxy-isovalerate[c0]  -> H2O[c0] + 3-Methyl-2-oxobutanoate[c0] 	
rxn01069[c0]	O-Phospho-L-homoserine phospho-lyase adding water c0	MMP0135	Threonine and Homoserine Biosynthesis	cpd00001[c0] + cpd00809[c0]  -> cpd00067[c0] + cpd00161[c0] + cpd00009[c0] 	H2O[c0] + O-Phospho-L-homoserine[c0]  -> H[c0] + L-Threonine[c0] + Phosphate[c0] 	
rxn02113[c0]	2-Acetolactate carboxy-lyase c0	MMP0613	Acetoin, Butanediol Metabolism	cpd00067[c0] + cpd00668[c0]  -> cpd00011[c0] + cpd00361[c0] 	H[c0] + ALCTT[c0]  -> CO2[c0] + ACTN[c0] 	
rxn00117[c0]	ATP nucleoside-diphosphate phosphatransferase c0	MMP0283	Purine Conversions; Pyrimidine Conversions	cpd00002[c0] + cpd00014[c0]  <=> cpd00008[c0] + cpd00062[c0] 	ATP[c0] + UDP[c0]  <=> ADP[c0] + UTP[c0] 	
rxn00555[c0]	L-Glutamine D-fructose-6-phosphate aminotransferase hexose c0	MMP1680	Formaldehyde Assimilation: Ribulose Monophosphate Pathway	cpd00072[c0] + cpd00053[c0]  <=> cpd00023[c0] + cpd00288[c0] 	D-fructose-6-phosphate[c0] + L-Glutamine[c0]  <=> L-Glutamate[c0] + D-Glucosamine_phosphate[c0] 	
rxn00260[c0]	L-Aspartate 2-oxoglutarate aminotransferase c0	(MMP1396 or MMP1216 or MMP1072 or MMP0391 or MMP1527)	Amino Acid Biosynthesis	cpd00041[c0] + cpd00024[c0]  <=> cpd00032[c0] + cpd00023[c0] 	L-Aspartate[c0] + 2-Oxoglutarate[c0]  <=> Oxaloacetate[c0] + L-Glutamate[c0] 	
rxn02484[c0]	ATP 4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase c0	MMP1639	Thiamin Biosynthesis	cpd00002[c0] + cpd00939[c0]  <=> cpd00008[c0] + cpd02775[c0] 	ATP[c0] + Toxopyrimidine[c0]  <=> ADP[c0] + 4-Amino-5-phosphomethyl-2-methylpyrimidine[c0] 	
rxn00527[c0]	L-Tyrosine 2-oxoglutarate aminotransferase c0	(MMP0315 and MMP0316) or (MMP0713 and MMP0714)	Amino Acid Biosynthesis	cpd00024[c0] + cpd00069[c0]  <=> cpd00023[c0] + cpd00868[c0] 	2-Oxoglutarate[c0] + L-Tyrosine[c0]  <=> L-Glutamate[c0] + p-hydroxyphenylpyruvate[c0] 	
rxn05171[c0]	Nitrate-ABC transport c0	MMP1260 or MMP1197 or MMP1198	Transport	cpd00001[c0] + cpd00002[c0] + cpd00209[e0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd00209[c0] 	H2O[c0] + ATP[c0] + Nitrate[e0]  -> H[c0] + Phosphate[c0] + ADP[c0] + Nitrate[c0] 	
rxn04052[c0]	precorrin-8X methylmutase c0	MMP0330	Coenzyme B12 Biosynthesis	cpd08375[c0]  <=> cpd03421[c0] 	Cobalt-precorrin_8[c0]  <=> Cobyrinate[c0] 	
rxn13783[c0]	DNA replication c0	((MMP0402 or MMP1397) and MMP1516 and MMP0594 and MMP0956 and MMP1286 and MMP0970)	DNA-Replication	 -> cpd17042[c0] 	 -> DNA_replication[c0] 	
rxn04045[c0]	sirohydrochlorin cobalt-lyase c0	MMP0164	Coenzyme B12 Biosynthesis	cpd03426[c0] + cpd00149[c0] + cpd11640[c0]  <=> cpd08368[c0] 	Sirohydrochlorin[c0] + Co2[c0] + H2[c0]  <=> Cobalt-precorrin_2[c0] 	
rxn01974[c0]	LL-2 6-Diaminoheptanedioate 2-epimerase c0	MMP0917	Lysine Biosynthesis DAP Pathway	cpd00504[c0]  <=> cpd00516[c0] 	LL-2_6-Diaminopimelate[c0]  <=> meso-2_6-Diaminopimelate[c0] 	
rxn12645[c0]	aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd11581[c0]  <=> cpd00033[c0] + cpd00132[c0] 	H2O[c0] + gly-asn-L[c0]  <=> Glycine[c0] + L-Asparagine[c0] 	
rxn00299[c0]	GTP 7 8-8 9-dihydrolase c0	MMP0034	Folate Biosynthesis	cpd00001[c0] + cpd00038[c0]  -> cpd00067[c0] + cpd00047[c0] + cpd02978[c0] 	H2O[c0] + GTP[c0]  -> H[c0] + Formate[c0] + 7_8-Dihydroneopterin_3'-triphosphate[c0] 	
rxn00839[c0]	ATP nucleoside-diphosphate phosphatransferase c0	MMP0283	Purine Conversions; Pyrimidine Conversions	cpd00002[c0] + cpd00177[c0]  <=> cpd00008[c0] + cpd00115[c0] 	ATP[c0] + dADP[c0]  <=> ADP[c0] + dATP[c0] 	
rxn03020[c0]	5-Methyl-5 6 7 8-tetrahydromethanopterin 2-mercaptoethanesulfonate c0	MMP1560 and MMP1561 and MMP1562 and MMP1563 and MMP1564 and MMP1565 and MMP1566 and MMP1567	Methanogenesis	cpd02737[c0] + cpd02246[c0] + 2 cpd00971[c0]  <=> cpd02438[c0] + cpd00895[c0] + 2 cpd00971[e0] 	5-Methyl-H4MPT[c0] + CoM[c0] + 2 Na[c0]  <=> Methyl_CoM[c0] + H4MPT[c0] + 2 Na[e0] 	
rxn00283[c0]	L-Alanine racemase c0	MMP1512	Alanine Biosynthesis	cpd00035[c0]  <=> cpd00117[c0] 	L-Alanine[c0]  <=> D-Alanine[c0] 	
rxn01022[c0]	5'-Methylthioadenosine orthophosphate c0	MMP0185	Methionine Salvage	cpd00067[c0] + cpd00009[c0] + cpd00147[c0]  <=> cpd00128[c0] + cpd02574[c0] 	H[c0] + Phosphate[c0] + 5-Methylthioadenosine[c0]  <=> Adenine[c0] + methylthioribose-1-phosphate[c0] 	
rxn10221[c0]	anteisoheptadecanoyl-phosphatidate cytidylyltransferase c0	MMP1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00052[c0] + cpd15678[c0]  <=> cpd00012[c0] + cpd15684[c0] 	CTP[c0] + 1_2-dianteisoheptadecanoyl-sn-glycerol_3-phosphate[c0]  <=> PPi[c0] + CDP-1_2-dianteisoheptadecanoylglycerol[c0] 	
rxn09177[c0]	phosphopantothenate-cysteine ligase c0	(MMP0204 or MMP1606)	Coenzyme A Biosynthesis	cpd00052[c0] + cpd00084[c0] + cpd02201[c0]  -> cpd00046[c0] + cpd00012[c0] + cpd02666[c0] 	CTP[c0] + L-Cysteine[c0] + 4-phosphopantothenate[c0]  -> CMP[c0] + PPi[c0] + R-4'-Phosphopantothenoyl-L-cysteine[c0] 	
rxn03437[c0]	R-2 3-Dihydroxy-3-methylpentanoate hydro-lyase c0	MMP0318	Branched Chain Amino Acid Biosynthesis	cpd02535[c0]  -> cpd00001[c0] + cpd00508[c0] 	2_3-Dihydroxy-3-methylvalerate[c0]  -> H2O[c0] + 3MOP[c0] 	
rxn02320[c0]	5-Amino-2-oxopentanoate 2-oxoglutarate aminotransferase c0	(MMP1216 and MMP1527)	Histidine Biosynthesis	cpd00024[c0] + cpd00807[c0]  <=> cpd00023[c0] + cpd00930[c0] 	2-Oxoglutarate[c0] + L-histidinol-phosphate[c0]  <=> L-Glutamate[c0] + imidazole_acetol-phosphate[c0] 	
rxn07587[c0]	rxn07587 c0	MMP1203	Coenzyme B12 Biosynthesis	cpd14960[c0] + cpd00017[c0]  <=> cpd00067[c0] + cpd00019[c0] + cpd08372[c0] 	Cobalt-precorrin_5B[c0] + S-Adenosyl-L-methionine[c0]  <=> H[c0] + S-Adenosyl-homocysteine[c0] + Cobalt-precorrin_6[c0] 	
rxn02507[c0]	1-2-Carboxyphenylamino-1-deoxy-D-ribulose-5-phosphate c0	MMP1008	Tryptophan Synthesis	cpd00067[c0] + cpd00956[c0]  -> cpd00011[c0] + cpd00001[c0] + cpd02210[c0] 	H[c0] + 1-2-carboxyphenylamino-1-deoxyribulose_5-phosphate[c0]  -> CO2[c0] + H2O[c0] + Indoleglycerol_phosphate[c0] 	
rxn00669[c0]	Propanoate CoA ligase ADP-forming c0	(MMP0148)	Protein Acetylation and Deacetylation in Bacteria	cpd00010[c0] + cpd00002[c0] + cpd00141[c0]  <=> cpd00009[c0] + cpd00008[c0] + cpd00086[c0] 	CoA[c0] + ATP[c0] + Propionate[c0]  <=> Phosphate[c0] + ADP[c0] + Propionyl-CoA[c0] 	
rxn01333[c0]	Sedoheptulose-7-phosphate D-glyceraldehyde-3-phosphate c0	MMP1308	Folate Biosynthesis; Pentose Phosphate Pathway	cpd00238[c0] + cpd00102[c0]  <=> cpd00072[c0] + cpd00236[c0] 	Sedoheptulose7-phosphate[c0] + Glyceraldehyde3-phosphate[c0]  <=> D-fructose-6-phosphate[c0] + D-Erythrose4-phosphate[c0] 	
rxn00714[c0]	P1 P4-Bis5'-nucleosyl-tetraphosphate nucleotidohydrolase c0	MMP0331	Pyrimidine Conversions	cpd00001[c0] + cpd03706[c0]  -> cpd00091[c0] + cpd00062[c0] 	H2O[c0] + UppppU[c0]  -> UMP[c0] + UTP[c0] 	
rxn01434[c0]	L-Citrulline L-aspartate ligase AMP-forming c0	MMP0073	Arginine Biosynthesis	cpd00002[c0] + cpd00041[c0] + cpd00274[c0]  <=> cpd02152[c0] + cpd00012[c0] + cpd00018[c0] 	ATP[c0] + L-Aspartate[c0] + Citrulline[c0]  <=> L-Argininosuccinate[c0] + PPi[c0] + AMP[c0] 	
rxn01116[c0]	D-Ribulose-5-phosphate 3-epimerase c0	MMP1114	Pentose Phosphate Pathway	cpd00171[c0]  <=> cpd00198[c0] 	D-Ribulose5-phosphate[c0]  <=> D-Xylulose5-phosphate[c0] 	
rxn08308[c0]	CDP-diacylglycerol synthetase n-C14 1 c0	MMP1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00052[c0] + cpd15523[c0]  <=> cpd00012[c0] + cpd15422[c0] 	CTP[c0] + 1_2-ditetradec-7-enoyl-sn-glycerol_3-phosphate[c0]  <=> PPi[c0] + CDP-1_2-ditetradec-7-enoylglycerol[c0] 	
rxn00409[c0]	ATP nucleoside-diphosphate phosphatransferase c0	MMP0283	Purine Conversions; Pyrimidine Conversions	cpd00002[c0] + cpd00096[c0]  <=> cpd00008[c0] + cpd00052[c0] 	ATP[c0] + CDP[c0]  <=> ADP[c0] + CTP[c0] 	
rxn02213[c0]	3-Dehydroquinate hydro-lyase c0	MMP1394	Chorismate Synthesis	cpd00699[c0]  -> cpd00001[c0] + cpd01716[c0] 	5-Dehydroquinate[c0]  -> H2O[c0] + 3-Dehydroshikimate[c0] 	
rxn03062[c0]	3-Isopropylmalate NAD oxidoreductase c0	MMP0539	Branched Chain Amino Acid Biosynthesis	cpd00003[c0] + cpd02693[c0]  <=> cpd00067[c0] + cpd00004[c0] + cpd02605[c0] 	NAD[c0] + 3-Isopropylmalate[c0]  <=> H[c0] + NADH[c0] + 2-isopropyl-3-oxosuccinate[c0] 	
rxn03446[c0]	O-Phospho-4-hydroxy-L-threonine phospho-lyase adding water c0	MMP0135	Threonine and Homoserine Biosynthesis	cpd00001[c0] + cpd03607[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd03608[c0] 	H2O[c0] + 4-Phosphonooxy-threonine[c0]  -> H[c0] + Phosphate[c0] + 4-Hydroxy-L-threonine[c0] 	
rxn01519[c0]	dUTP nucleotidohydrolase c0	MMP1075 or MMP1426	Folate Biosynthesis	cpd00001[c0] + cpd00358[c0]  -> cpd00012[c0] + cpd00299[c0] 	H2O[c0] + dUTP[c0]  -> PPi[c0] + dUMP[c0] 	
rxn00029[c0]	5-Aminolevulinate hydro-lyaseadding 5-aminolevulinate and c0	MMP1258	Heme and Siroheme Biosynthesis	2 cpd00338[c0]  -> cpd00067[c0] + 2 cpd00001[c0] + cpd00689[c0] 	2 5-Aminolevulinate[c0]  -> H[c0] + 2 H2O[c0] + Porphobilinogen[c0] 	
rxn03491[c0]	S-Adenosyl-L-methionine 1-precorrin-6Y C5 15-methyltransferase c0	(MMP1227 or MMP1221)	Coenzyme B12 Biosynthesis	cpd03760[c0] + 2 cpd00017[c0]  <=> 2 cpd00067[c0] + cpd00011[c0] + 2 cpd00019[c0] + cpd03835[c0] 	Precorrin_6B[c0] + 2 S-Adenosyl-L-methionine[c0]  <=> 2 H[c0] + CO2[c0] + 2 S-Adenosyl-homocysteine[c0] + Precorrin_8[c0] 	
rxn01964[c0]	L-Serine hydro-lyase adding indoleglycerol-phosphate c0	(MMP1002 and MMP1003)	Tryptophan Synthesis	cpd00054[c0] + cpd02210[c0]  -> cpd00001[c0] + cpd00102[c0] + cpd00065[c0] 	L-Serine[c0] + Indoleglycerol_phosphate[c0]  -> H2O[c0] + Glyceraldehyde3-phosphate[c0] + L-Tryptophan[c0] 	
rxn12510[c0]	ATP pantothenate 4'-phosphotransferase c0	MMP0398	Coenzyme A Biosynthesis	cpd00002[c0] + cpd00644[c0]  <=> cpd00008[c0] + cpd02201[c0] 	ATP[c0] + PAN[c0]  <=> ADP[c0] + 4-phosphopantothenate[c0] 	
rxn09207[c0]	Phosphatidylserine syntase n-C14 1 c0	MMP1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00054[c0] + cpd15422[c0]  -> cpd00067[c0] + cpd00046[c0] + cpd15554[c0] 	L-Serine[c0] + CDP-1_2-ditetradec-7-enoylglycerol[c0]  -> H[c0] + CMP[c0] + phosphatidylserine_ditetradec-7-enoyl[c0] 	
rxn02380[c0]	beta-D-Glucose 6-phosphate ketol-isomerase c0	MMP1295	Glycolysis and Gluconeogenesis	cpd00863[c0]  <=> cpd00072[c0] 	beta-D-Glucose_6-phosphate[c0]  <=> D-fructose-6-phosphate[c0] 	
rxn00474[c0]	L-Serine hydro-lyase adding indoleglycerol-phosphate c0	(MMP1002 and MMP1003)	Tryptophan Synthesis	cpd00054[c0] + cpd00359[c0]  -> cpd00001[c0] + cpd00065[c0] 	L-Serine[c0] + indol[c0]  -> H2O[c0] + L-Tryptophan[c0] 	
rxn03435[c0]	R-2 3-Dihydroxy-3-methylpentanoate NADP oxidoreductase c0	MMP0654	Coenzyme A Biosynthesis; Branched Chain Amino Acid Biosynthesis 	cpd00006[c0] + cpd02535[c0]  <=> cpd00067[c0] + cpd00005[c0] + cpd10162[c0] 	NADP[c0] + 2_3-Dihydroxy-3-methylvalerate[c0]  <=> H[c0] + NADPH[c0] + R-3-Hydroxy-3-methyl-2-oxopentanoate[c0] 	
rxn01673[c0]	ATP nucleoside-diphosphate phosphatransferase c0	MMP0283	Purine Conversions; Pyrimidine Conversions	cpd00002[c0] + cpd00533[c0]  <=> cpd00008[c0] + cpd00356[c0] 	ATP[c0] + dCDP[c0]  <=> ADP[c0] + dCTP[c0] 	
rxn12845[c0]	Gly-Leu aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd15604[c0]  <=> cpd00033[c0] + cpd00107[c0] 	H2O[c0] + Gly-Leu[c0]  <=> Glycine[c0] + L-Leucine[c0] 	
rxn00085[c0]	L-Glutamate NADP oxidoreductase transaminating c0	MMP0082 and MMP0081 and MMP0080	Glutamine/Glutamate/Aspartate/Asparagine Biosynthesis	cpd00006[c0] + 2 cpd00023[c0]  <=> cpd00067[c0] + cpd00005[c0] + cpd00053[c0] + cpd00024[c0] 	NADP[c0] + 2 L-Glutamate[c0]  <=> H[c0] + NADPH[c0] + L-Glutamine[c0] + 2-Oxoglutarate[c0] 	
rxn00832[c0]	IMP 1 2-hydrolase decyclizing c0	(MMP1373 or MMP1310)	De Novo Purine Biosynthesis	cpd00001[c0] + cpd00114[c0]  <=> cpd02884[c0] 	H2O[c0] + IMP[c0]  <=> FAICAR[c0] 	
rxn00295[c0]	UDP-N-acetyl-D-glucosamine 4-epimerase c0	MMP1090	N-Linked Glycosylation in Bacteria	cpd00037[c0]  <=> cpd00175[c0] 	UDP-N-acetylglucosamine[c0]  <=> UDP-N-acetyl-D-galactosamine[c0] 	
rxn02187[c0]	2-Acetolactate methylmutase c0	MMP0654	Valine, Leucine, and Isoleucine Biosynthesis	cpd00668[c0]  <=> cpd02569[c0] 	ALCTT[c0]  <=> 2-Oxo-3-hydroxyisovalerate[c0] 	
rxn01219[c0]	ATP CMP phosphotransferase c0	MMP0626	Pyrimidine Conversions	cpd00002[c0] + cpd00206[c0]  <=> cpd00008[c0] + cpd00533[c0] 	ATP[c0] + dCMP[c0]  <=> ADP[c0] + dCDP[c0] 	
rxn03514[c0]	S-adenosyl-L-methionine precorrin-4 C11 methyltransferase c0	MMP1662	Coenzyme B12 Biosynthesis	cpd00017[c0] + cpd03834[c0]  <=> cpd00067[c0] + cpd00019[c0] + cpd03839[c0] 	S-Adenosyl-L-methionine[c0] + Precorrin_4[c0]  <=> H[c0] + S-Adenosyl-homocysteine[c0] + Precorrin_5[c0] 	
rxn01270[c0]	L-Aspartate 2-oxoglutarate aminotransferase c0	(MMP1072 or MMP1527)	Phenylalanine and Tyrosine Branches from Chorismate	cpd00032[c0] + cpd00616[c0]  <=> cpd00041[c0] + cpd00219[c0] 	Oxaloacetate[c0] + Pretyrosine[c0]  <=> L-Aspartate[c0] + Prephenate[c0] 	
rxn08309[c0]	CDP-diacylglycerol synthetase n-C16 0 c0	MMP1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00052[c0] + cpd15524[c0]  <=> cpd00012[c0] + cpd15419[c0] 	CTP[c0] + 1_2-dihexadecanoyl-sn-glycerol_3-phosphate[c0]  <=> PPi[c0] + CDP-1_2-dihexadecanoylglycerol[c0] 	
rxn08312[c0]	CDP-diacylglycerol synthetase n-C18 1 c0	MMP1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00052[c0] + cpd15527[c0]  <=> cpd00012[c0] + cpd15420[c0] 	CTP[c0] + 1_2-dioctadec-11-enoyl-sn-glycerol_3-phosphate[c0]  <=> PPi[c0] + CDP-1_2-dioctadec-11-enoylglycerol[c0] 	
rxn05144[c0]	rxn05144 c0	(MMP0103 or MMP1656)	Pyridoxin(Vitamin B6) Biosynthesis	cpd00053[c0] + cpd00102[c0] + cpd00171[c0]  -> 2 cpd00067[c0] + 3 cpd00001[c0] + cpd00009[c0] + cpd00023[c0] + cpd00016[c0] 	L-Glutamine[c0] + Glyceraldehyde3-phosphate[c0] + D-Ribulose5-phosphate[c0]  -> 2 H[c0] + 3 H2O[c0] + Phosphate[c0] + L-Glutamate[c0] + Pyridoxal_phosphate[c0] 	
rxn00410[c0]	UTP ammonia ligaseADP-forming c0	MMP0893	Pyrimidine Conversions	cpd00002[c0] + cpd00013[c0] + cpd00062[c0]  <=> 2 cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd00052[c0] 	ATP[c0] + NH3[c0] + UTP[c0]  <=> 2 H[c0] + Phosphate[c0] + ADP[c0] + CTP[c0] 	
rxn05221[c0]	Na proline symport c0	((MMP1700 or MMP0220) or MMP0221)	Transport	cpd00971[e0] + cpd00129[e0]  <=> cpd00971[c0] + cpd00129[c0] 	Na[e0] + L-Proline[e0]  <=> Na[c0] + L-Proline[c0] 	
rxn09210[c0]	Phosphatidylserine syntase n-C18 0 c0	MMP1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00054[c0] + cpd15421[c0]  -> cpd00067[c0] + cpd00046[c0] + cpd15557[c0] 	L-Serine[c0] + CDP-1_2-dioctadecanoylglycerol[c0]  -> H[c0] + CMP[c0] + phosphatidylserine_dioctadecanoyl[c0] 	
rxn00782[c0]	D-Glyceraldehyde-3-phosphate NADP oxidoreductasephosphorylating c0	MMP0325	Glycolysis and Gluconeogenesis	cpd00005[c0] + cpd00203[c0]  -> cpd00006[c0] + cpd00009[c0] + cpd00102[c0] 	NADPH[c0] + 1_3-Bisphospho-D-glycerate[c0]  -> NADP[c0] + Phosphate[c0] + Glyceraldehyde3-phosphate[c0] 	
rxn01607[c0]	ATP R-mevalonate 5-phosphotransferase c0	MMP1335	Isoprenoid Biosynthesis; Archaeal Lipids	cpd00002[c0] + cpd00332[c0]  <=> cpd00008[c0] + cpd00812[c0] 	ATP[c0] + Mevalonic_acid[c0]  <=> ADP[c0] + 5-phosphomevalonate[c0] 	
rxn01000[c0]	Prephenate hydro-lyase decarboxylating c0	MMP1528	Phenylalanine and Tyrosine Branches from Chorismate	cpd00067[c0] + cpd00219[c0]  -> cpd00011[c0] + cpd00001[c0] + cpd00143[c0] 	H[c0] + Prephenate[c0]  -> CO2[c0] + H2O[c0] + Phenylpyruvate[c0] 	
rxn00675[c0]	Propinol adenylate CoA ligase AMP-forming c0	MMP0148	Protein Acetylation and Deacetylation in Bacteria	cpd00010[c0] + cpd03560[c0]  -> cpd00018[c0] + cpd00086[c0] 	CoA[c0] + Propionyladenylate[c0]  -> AMP[c0] + Propionyl-CoA[c0] 	
rxn02305[c0]	2-Methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate 4-methyl-5- c0	MMP1139	Thiamin Biosynthesis	cpd00067[c0] + cpd02894[c0] + cpd02654[c0]  <=> cpd00012[c0] + cpd00793[c0] 	H[c0] + 4-Amino-2-methyl-5-diphosphomethylpyrimidine[c0] + 4-Methyl-5-2-phosphoethyl-thiazole[c0]  <=> PPi[c0] + Thiamine_phosphate[c0] 	
rxn02296[c0]	6-Carboxyhyxanoate CoA ligase AMP-forming c0	MMP1575	Biotin Biosynthesis	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd01727[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd00782[c0] 	H[c0] + CoA[c0] + ATP[c0] + Pimelate[c0]  -> PPi[c0] + AMP[c0] + Pimeloyl-CoA[c0] 	
rxn12641[c0]	aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd11585[c0]  <=> cpd00035[c0] + cpd00033[c0] 	H2O[c0] + L-alanylglycine[c0]  <=> L-Alanine[c0] + Glycine[c0] 	
rxn10315[c0]	isohexadecanoyl-lipoteichoic acid synthesis n=24 linked N-acetylglucosamine substituted c0	MMP1423	Teichoic and Lipoteichoic Acids Biosynthesis	24 cpd00037[c0] + cpd15754[c0]  <=> 24 cpd00014[c0] + cpd15772[c0] 	24 UDP-N-acetylglucosamine[c0] + Isohexadecanoyllipoteichoic_acid_n=24__linked__unsubstituted[c0]  <=> 24 UDP[c0] + Isohexadecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine[c0] 	
rxn00711[c0]	UMP pyrophosphate phosphoribosyltransferase c0	(MMP0680)	De Novo Pyrimidine Synthesis	cpd00092[c0] + cpd00103[c0]  -> cpd00012[c0] + cpd00091[c0] 	Uracil[c0] + PRPP[c0]  -> PPi[c0] + UMP[c0] 	
rxn10309[c0]	stearoyl-lipoteichoic acid synthesis n=24 linked N-acetylglucosamine substituted c0	MMP1423	Teichoic and Lipoteichoic Acids Biosynthesis	24 cpd00037[c0] + cpd15748[c0]  <=> 24 cpd00014[c0] + cpd15766[c0] 	24 UDP-N-acetylglucosamine[c0] + Stearoyllipoteichoic_acid_n=24__linked__unsubstituted[c0]  <=> 24 UDP[c0] + Stearoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine[c0] 	
rxn12633[c0]	aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd11593[c0]  <=> cpd00035[c0] + cpd00041[c0] 	H2O[c0] + ala-L-asp-L[c0]  <=> L-Alanine[c0] + L-Aspartate[c0] 	
rxn05250[c0]	FACOAL160ISO c0	MMP0566	Unsaturated Fatty Acid Biosynthesis; Biotin Biosynthesis	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd11440[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd11441[c0] 	H[c0] + CoA[c0] + ATP[c0] + fa6[c0]  -> PPi[c0] + AMP[c0] + fa6coa[c0] 	
rxn03174[c0]	2-Amino-4-hydroxy-6-erythro-1 2 3-trihydroxypropyl c0	MMP0034	Folate Biosynthesis	cpd03666[c0]  -> cpd00001[c0] + cpd02978[c0] 	2_5-Diamino-6-5'-triphosphoryl-3'_4'-trihydroxy-2'-oxopentyl-_amino-4-oxopyrimidine[c0]  -> H2O[c0] + 7_8-Dihydroneopterin_3'-triphosphate[c0] 	
rxn00763[c0]	Glycerol NAD oxidoreductase c0	MMP0802	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00003[c0] + cpd00100[c0]  <=> cpd00067[c0] + cpd00004[c0] + cpd00448[c0] 	NAD[c0] + Glycerol[c0]  <=> H[c0] + NADH[c0] + D-Glyceraldehyde[c0] 	
rxn00138[c0]	Deamino-NAD ammonia ligase AMP-forming c0	MMP1349	NAD/NADP Cofactor Biosynthesis	cpd00002[c0] + cpd00013[c0] + cpd00638[c0]  -> cpd00003[c0] + cpd00012[c0] + cpd00018[c0] 	ATP[c0] + NH3[c0] + Deamido-NAD[c0]  -> NAD[c0] + PPi[c0] + AMP[c0] 	
rxn03136[c0]	1-5'-Phosphoribosyl-5-amino-4-N-succinocarboxamide-imidazole c0	MMP0971	De Novo Purine Biosynthesis	cpd02921[c0]  <=> cpd00106[c0] + cpd02851[c0] 	SAICAR[c0]  <=> Fumarate[c0] + AICAR[c0] 	
rxn05165[c0]	L-Proline-ABC transport c0	MMP0866 or MMP0867 or MMP0868	Transport	cpd00001[c0] + cpd00002[c0] + cpd00129[e0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd00129[c0] 	H2O[c0] + ATP[c0] + L-Proline[e0]  -> H[c0] + Phosphate[c0] + ADP[c0] + L-Proline[c0] 	
